old_path,new_path,domain,letter,catalog_id,kind,phase,junction,status,note
SST_Material_Phase_EFT,01_research/A_falsifiers/A030_material_phase_eft_holonomy,01_research,A_falsifiers,A030,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_minimal_falsification_harness,01_research/D_benchmarks/D006_minimal_falsification_harness,01_research,D_benchmarks,D006,code,SP05 / SP09,no,verified,versions=3; SP09 level-2 scaffold root
SST_Phase_Feedback_Delay_Knot_Stability,01_research/A_falsifiers/A026_phase_feedback_delay_knot_stability,01_research,A_falsifiers,A026,code,SP05 / SP09,no,verified,versions=4; SP09 level-2 scaffold root
SST_preferred_frame_binary_falsifier,01_research/A_falsifiers/A009_preferred_frame_binary,01_research,A_falsifiers,A009,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_Quantum_Galileo_Action_Gauge_Closure,01_research/A_falsifiers/A042_quantum_galileo_action_gauge_closure,01_research,A_falsifiers,A042,code,SP05 / SP09,no,verified,SP09 level-2 scaffold root (real dir); versions=2 + key
SST_Quantum_Galileo_Action_Gauge_Closure/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.1.0,01_research/A_falsifiers/A042_quantum_galileo_action_gauge_closure/A042-v0.1.0,01_research,A_falsifiers,A042,code,SP09,yes,verified,level-2 version junction
SST_Quantum_Galileo_Action_Gauge_Closure/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.2.0_BLIND_SOURCE,01_research/A_falsifiers/A042_quantum_galileo_action_gauge_closure/A042-v0.2.0,01_research,A_falsifiers,A042,code,SP09,yes,verified,level-2 version junction
SST_ssdl_audit_research,01_research/D_benchmarks/D004_ssdl_audit,01_research,D_benchmarks,D004,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
SST_Sutcliffe_HSS_feasibility_gate,01_research/D_benchmarks/D007_sutcliffe_hss_feasibility_gate,01_research,D_benchmarks,D007,code,SP05 / SP09,no,verified,versions=1; SP09 level-2 scaffold root
SST_Trefoil_Dynamic_Seed_Qualification_Mega_Falsifier,01_research/A_falsifiers/A038_trefoil_dynamic_seed_qualification,01_research,A_falsifiers,A038,code,SP05 / SP09,no,verified,versions=7 + 1 odd; SP09 level-2 scaffold root
SST_vArrow_Spectral_Blind_Falsifier,01_research/A_falsifiers/A027_spectral_swirl_clock,01_research,A_falsifiers,A027,code,SP05 / SP09,no,verified,versions=3; SP09 level-2 scaffold root
SST21D_knot_order_pipeline,01_research/E_pipelines/E001_sst21d_knot_order_pipeline,01_research,E_pipelines,E001,code,SP05 / SP09,no,verified,versions=2; SP09 level-2 scaffold root
Trefoil_Balance_to_TBK_RPO_Handoff_v0.1.0,01_research/E_pipelines/E005_trefoil_balance_to_tbk_rpo_handoff/E005-v0.1.0,01_research,E_pipelines,E005,code,SP05 / SP09,no,verified,versions=1; SP09 level-2 scaffold root
Wien_Planck_SST_Field_Matter_Closure,01_research/A_falsifiers/A041_wien_planck_field_matter_closure,01_research,A_falsifiers,A041,code,SP05 / SP09,no,verified,versions=6; SP09 level-2 scaffold root
SST_routeB_RT_bem_research,01_research/B_closures/B004_route_b_rt_bem,01_research,B_closures,B004,code,SP05 / SP09,no,verified,versions=22 + shared; SP09 level-2 scaffold root
SST_Intrinsic_Modal_Swirl_Clock,01_research/A_falsifiers/A035_intrinsic_modal_swirl_clock,01_research,A_falsifiers,A035,code,SP06 / SP09,no,verified,container_split count=4; BLOCKED: junction pending - an empty locked shell (Google Drive handle) occupies the old path; SP09 level-2 scaffold root
SST_Threaded_Hole_Substrate_Blind_Falsifier_v0.1.0,01_research/A_falsifiers/A024_threaded_hole_separatrix,01_research,A_falsifiers,A024,code,SP06 / SP09,no,verified,container_split count=2; SP09 level-2 scaffold root
SST_Threaded_Hole_Substrate_Blind_Falsifier_v0.1.0,01_research/A_falsifiers/A025_local_thread_texture_boost,01_research,A_falsifiers,A025,code,SP06,yes,skipped,container_split count=2; old_path_missing_on_disk
SST_Trefoil_Lobe_Orientation_Blind_Falsifier,01_research/A_falsifiers/A021_trefoil_lobe_self_confinement,01_research,A_falsifiers,A021,code,SP06 / SP09,no,verified,container_split count=3; SP09 level-2 scaffold root
SST_Trefoil_Lobe_Orientation_Blind_Falsifier,01_research/A_falsifiers/A023_multitopology_rpo_floquet,01_research,A_falsifiers,A023,code,SP06,yes,skipped,container_split count=3; old_path_missing_on_disk
SST_Trefoil_Lobe_Orientation_Blind_Falsifier,01_research/A_falsifiers/A031_adaptive_period_rpo_floquet,01_research,A_falsifiers,A031,code,SP06,yes,skipped,container_split count=3; old_path_missing_on_disk
SST_Einstein,01_research/A_falsifiers/A018_einstein_blind,01_research,A_falsifiers,A018,code,SP06 / SP09,no,verified,container_split count=2; SP09 level-2 scaffold root
SST_Einstein,01_research/A_falsifiers/A017_einstein_emergent_metric_poisson,01_research,A_falsifiers,A017,code,SP06,yes,skipped,container_split count=2; old_path_missing_on_disk
SST_v0_8_19_routes_research,01_research/B_closures/B002_planck_routes_a_to_d,01_research,B_closures,B002,code,SP06 / SP09,no,verified,container_split count=5; realigned to the frozen catalog id; SP09 level-2 scaffold root
SST_v0_8_19_routes_research,01_research/B_closures/B002_planck_routes_a_to_d,01_research,B_closures,B002,code,SP06,yes,skipped,container_split count=5; old_path_missing_on_disk; realigned to the frozen catalog id
SST_v0_8_19_routes_research,01_research/A_falsifiers/A001_route_a_parallel_derivation_falsification,01_research,B_closures,A001,code,SP06,yes,skipped,container_split count=5; old_path_missing_on_disk
SST_v0_8_19_routes_research,01_research/C_dynamics/C004_torsion_impedance,01_research,C_dynamics,C004,code,SP06,yes,skipped,container_split count=5; old_path_missing_on_disk
SST_v0_8_19_routes_research,01_research/A_falsifiers/A002_nonfit_prediction_routes_control,01_research,A_falsifiers,A002,code,SP06,yes,skipped,container_split count=5; old_path_missing_on_disk
SST_QHP_Stability_Landscape,01_research/A_falsifiers/A034_qhp_stability_landscape,01_research,A_falsifiers,A034,code,SP06 / SP09,no,verified,container_split count=2; SP09 level-2 scaffold root
SST_QHP_Stability_Landscape,01_research/E_pipelines/E007_knotplot_qhp_sweep_generator,04_tools,A_geometry,E007,code,SP06,yes,skipped,container_split count=2; old_path_missing_on_disk; realigned to the frozen catalog id
gui,05_apps/A002_coil_gui,05_apps,,A002,code,SP06,yes,verified,container_split count=4 + assets
gui,05_apps/A003_vortexlab,05_apps,,A003,code,SP06,yes,skipped,container_split count=4 + assets; old_path_missing_on_disk
gui,05_apps/A004_math_lab,05_apps,,A004,code,SP06,yes,skipped,container_split count=4 + assets; old_path_missing_on_disk
gui,01_research/C_dynamics/C007_uq_twisted_vortex_ring,01_research,C_dynamics,C007,code,SP06,yes,skipped,container_split count=4 + assets; old_path_missing_on_disk; realigned to the frozen catalog id
gui,03_data/C_reference/C002_gui_images,03_data,C_reference,C002,code,SP06,yes,skipped,container_split count=4 + assets; old_path_missing_on_disk
3D,04_tools/C_fabrication/C001_3d_models,04_tools,C_fabrication,C001,code,SP06,yes,verified,container_split count=2
3D,03_data/D_generated/D001_3d_exports,03_data,D_generated,D001,code,SP06,yes,skipped,container_split count=2; old_path_missing_on_disk
KnotPlot/*.py,04_tools/A_geometry/A001_knotplot,04_tools,A_geometry,A001,tool,SP07,no,verified,"size=small; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/ridgerunner,04_tools/A_geometry/A002_ridgerunner,04_tools,A_geometry,A002,tool,SP07,yes,verified,size=~50 MB
KnotPlot/knots,03_data/A_knots/04_knotplot,03_data,A_knots,,data,SP07,yes,verified,size=~7.8 GB
KnotPlot/Knots_FourierSeries,03_data/A_knots/02_fourier/knotplot_legacy,03_data,A_knots,,data,SP07,yes,verified,size=~0.7 MB
KnotPlot/qhp*,03_data/D_generated/qhp,03_data,D_generated,,output,SP07,no,verified,"size=~29 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/ridgerunner/out,03_data/D_generated/knotplot_campaign_outputs,03_data,D_generated,,output,SP07,yes,verified,"campaign output, 3.82 GB; must move before ridgerunner or it lands in the tools domain"
KnotPlot/Trefoil_Balance_Point_Campaign_v*,01_research/E_pipelines/E004_trefoil_balance_point_campaign,01_research,E_pipelines,E004,campaign,SP07,no,verified,"size=~413 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/KnotPlot_3p1_Trefoil_Seed_Campaign_v*,01_research/E_pipelines/E003_knotplot_trefoil_seed_campaign,01_research,E_pipelines,E003,campaign,SP07,no,verified,"size=~133 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/KnotPlot_3p1_MultiDynamics_Relaxation_Matrix_v*,01_research/E_pipelines/E002_knotplot_multidynamics_relaxation_matrix,01_research,E_pipelines,E002,campaign,SP07,no,verified,"size=~85 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v*,01_research/D_benchmarks/D009_knotplot_parameter_atlas,01_research,D_benchmarks,D009,campaign,SP07,no,verified,"size=~188 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/KnotPlot_3p1_MissingParameter_Command_Certification_v*,01_research/D_benchmarks/D008_knotplot_missingparameter_certification,01_research,D_benchmarks,D008,campaign,SP07,no,verified,"size=~2 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/KnotPlot_MultiTopology_QHP_Sweep_v*,01_research/E_pipelines/E006_knotplot_multitopology_qhp_sweep,01_research,E_pipelines,E006,campaign,SP07,no,verified,"size=~99 MB; glob row: matches files, not a directory - a junction cannot stand at a glob path"
KnotPlot/*_outputs.zip,09_archive/restore/KnotPlot,09_archive,,,archive,SP07,no,verified,"size=—; glob row: matches files, not a directory - a junction cannot stand at a glob path"
SST_Quantum_Galileo_Action_Gauge_Closure/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.1.1_BLIND_SOURCE,01_research/A_falsifiers/A042_quantum_galileo_action_gauge_closure/_variants/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.1.1_BLIND_SOURCE,01_research,A_falsifiers,A042,code,SP05,no,verified,belongs_to=A039 v0.1.1; placement=A039_.../v0.1.1/` (the version itself)
SST_Quantum_Galileo_Action_Gauge_Closure/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.1.1_REVEAL_KEY,01_research/A_falsifiers/A042_quantum_galileo_action_gauge_closure/_variants/SST_Quantum_Galileo_Action_Gauge_Closure_Falsifier_v0.1.1_REVEAL_KEY,01_research,A_falsifiers,A042,code,SP05,no,verified,belongs_to=A039 v0.1.1; placement=A039_.../keys/v0.1.1_REVEAL_KEY/
SST_Maxwell/3_Maxwell_SST_Physical_Lines_Unblind_Key_v0.2.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/_variants/3_Maxwell_SST_Physical_Lines_Unblind_Key_v0.2.0,01_research,A_falsifiers,A012,code,SP05,no,verified,belongs_to=A013 v0.2.0; placement=A013_.../keys/v0.2.0_UNBLIND_KEY/
SST_Maxwell/3_SST_Maxwell_Blind_Unblind_Key_v0.1.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/_variants/3_SST_Maxwell_Blind_Unblind_Key_v0.1.0,01_research,A_falsifiers,A012,code,SP05,no,verified,belongs_to=A014 v0.1.0; placement=A014_.../keys/v0.1.0_UNBLIND_KEY/
SST_Trefoil_Dynamic_Seed_Qualification_Mega_Falsifier/SST_Trefoil_v0.3.0_with_Knot_Library_v0.2.5,01_research/A_falsifiers/A038_trefoil_dynamic_seed_qualification/_variants/SST_Trefoil_v0.3.0_with_Knot_Library_v0.2.5,01_research,A_falsifiers,A038,code,SP05,no,verified,belongs_to=A037 v0.3.0; placement=A037_.../variants/v0.3.0+knotlib0.2.5/
to_be_processed,DELETE/to_be_processed,DELETE,,,stub,SP11,no,verified,"git_mv to DELETE/ — one relocation `README.md`, content moved long ago; soft_delete_via_DELETE/"
falsifier_registry,DELETE/falsifier_registry,DELETE,,,stub,SP11,no,verified,README.md` to `10_docs/registry/`; directory git_mv to DELETE/. `falsifier_registry.yaml` stays at repo root; soft_delete_via_DELETE/
SST_timefield_spectral_v06_research,03_data/D_generated/research_outputs/timefield_spectral_v06,03_data,D_generated,,output,SP05,yes,verified,"output-only, to `D/D/D003_timefield_spectral/"
.tmp.driveupload,09_archive/drive_upload_staging,09_archive,,,archive,SP11,no,skipped,"Google Drive staging, not research content. Excluded from the migration; disposition decided separately; old_path_missing_on_disk"
*.zip,09_archive/restore/root_zips,09_archive,,,archive,SP04,no,verified,09_archive/restore/` under the existing theme rules
INVENTORY*.md,10_docs/inventory/root_docs,10_docs,,,tooling,SP04,no,verified,10_docs/inventory/` and `10_docs/migration/; also_from=MIGRATION_MANIFEST.md; also_from=MOVE_*.md; also_from=WORKBENCH_LAYOUT.md; also_from=CONFLICT_RESOLUTION.md
sst_gilbert_usability.py,07_scripts/sst_gilbert_usability.py,07_scripts,,,tooling,SP04,no,verified,07_scripts/
rhof_eligibility_scan.py,07_scripts/rhof_eligibility_scan.py,07_scripts,,,tooling,SP04,no,verified,07_scripts/
knots_ideal_favorites.txt,03_data/A_knots/01_ideal/ideal_sources/knots_ideal_favorites.txt,03_data,A_knots,A004,data,SP04,no,verified,D/A/A004_ideal_gilbert/
rhof_triage.csv,03_data/A_knots/01_ideal/ideal_sources/rhof_triage.csv,03_data,A_knots,A004,data,SP04,no,verified,D/A/A004_ideal_gilbert/
datasets/SPARC,03_data/B_external/SPARC,03_data,B_external,,data,SP04,no,verified,added_by_01_03_freeze; resolves through the datasets junction; no own junction needed
datasets/resources-swirl/ideal_12_data,03_data/A_knots/01_ideal/ideal_12_data,03_data,A_knots,,data,SP04,yes,verified,added_by_01_03_freeze
datasets/resources-swirl/Knots_FourierSeries,03_data/A_knots/02_fourier/resources_swirl,03_data,A_knots,,data,SP04,yes,verified,added_by_01_03_freeze
datasets/twist_knots,03_data/A_knots/05_twist_knots,03_data,A_knots,,data,SP04,yes,verified,added_by_01_03_freeze
datasets/exports,03_data/D_generated/legacy_dataset_exports,03_data,D_generated,,output,SP04,yes,verified,added_by_01_03_freeze
datasets/resources-swirl/results,03_data/D_generated/legacy_resources_swirl_results,03_data,D_generated,,output,SP04,yes,verified,added_by_01_03_freeze
3D/3d-mesh,03_data/D_generated/3d/meshes,03_data,D_generated,,output,SP06,yes,verified,added_by_01_03_freeze
experiments/derive_constants,DELETE/experiments/derive_constants,DELETE,,,stub,SP11,no,verified,added_by_01_03_freeze; soft_delete_via_DELETE/
experiments/trefoil,DELETE/experiments/trefoil,DELETE,,,stub,SP11,no,verified,added_by_01_03_freeze; soft_delete_via_DELETE/
experiments/sycl,04_tools/D_compute/sycl_probes,04_tools,D_compute,,tooling,SP06,yes,verified,added_by_01_03_freeze
SST_Maxwell/1_Maxwell_SST_Kinetic_Falsifier_v0.1.0,01_research/A_falsifiers/A011_maxwell_1_kinetic_energy/A011-v0.1.0,01_research,A_falsifiers,A011,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/1_Maxwell_SST_Kinetic_Falsifier_v0.2.0,01_research/A_falsifiers/A011_maxwell_1_kinetic_energy/A011-v0.2.0,01_research,A_falsifiers,A011,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/1_Maxwell_SST_Kinetic_Falsifier_v0.3.0,01_research/A_falsifiers/A011_maxwell_1_kinetic_energy/A011-v0.3.0,01_research,A_falsifiers,A011,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/1_Maxwell_SST_Kinetic_Falsifier_v0.3.1,01_research/A_falsifiers/A011_maxwell_1_kinetic_energy/A011-v0.3.1,01_research,A_falsifiers,A011,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/2_Maxwell_SST_Dynamical_Field_Closure_Falsifier_v0.1.0,01_research/A_falsifiers/A015_maxwell_2_dynamical_field/A015-v0.1.0,01_research,A_falsifiers,A015,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/2_Maxwell_SST_Dynamical_Field_Closure_Falsifier_v0.2.0,01_research/A_falsifiers/A015_maxwell_2_dynamical_field/A015-v0.2.0,01_research,A_falsifiers,A015,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/3_Maxwell_SST_Physical_Lines_Falsifier_v0.2.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/A012-v0.2.0,01_research,A_falsifiers,A012,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/3_Maxwell_SST_Physical_Lines_Unblind_Key_v0.2.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/3_Maxwell_SST_Physical_Lines_Unblind_Key_v0.2.0,01_research,A_falsifiers,A012,code,SP06,yes,skipped,container_split of SST_Maxwell; already relocated to _variants/ by SP05
SST_Maxwell/3_SST_Maxwell_Blind_Falsifier_v0.1.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/A012-v0.1.0,01_research,A_falsifiers,A012,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/3_SST_Maxwell_Blind_Unblind_Key_v0.1.0,01_research/A_falsifiers/A012_maxwell_3_physical_lines/3_SST_Maxwell_Blind_Unblind_Key_v0.1.0,01_research,A_falsifiers,A012,code,SP06,yes,skipped,container_split of SST_Maxwell; already relocated to _variants/ by SP05
SST_Maxwell/4_SST_Maxwell_Falsifier_v0.1.0,01_research/A_falsifiers/A013_maxwell_4_field_null/A013-v0.1.0,01_research,A_falsifiers,A013,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/4_SST_Maxwell_Falsifier_v0.2.0,01_research/A_falsifiers/A013_maxwell_4_field_null/A013-v0.2.0,01_research,A_falsifiers,A013,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/5_Maxwell_SST_Reciprocal_Falsifier_v0.2.0,01_research/A_falsifiers/A014_maxwell_5_reciprocal_figures/A014-v0.2.0,01_research,A_falsifiers,A014,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Maxwell/5_SST_Maxwell_Reciprocal_Falsifier_v0.1.0,01_research/A_falsifiers/A014_maxwell_5_reciprocal_figures/A014-v0.1.0,01_research,A_falsifiers,A014,code,SP09,yes,verified,container_split of SST_Maxwell
SST_Kelvin_Floquet/Kelvin_Kirchhoff_SST_Falsifier_v0.1.0,01_research/A_falsifiers/A019_kelvin_kirchhoff_evanescent_core/A019-v0.1.0,01_research,A_falsifiers,A019,code,SP09,yes,verified,container_split of SST_Kelvin_Floquet
SST_Kelvin_Floquet/Kelvin_Kirchhoff_SST_Falsifier_v0.1.1,01_research/A_falsifiers/A019_kelvin_kirchhoff_evanescent_core/A019-v0.1.1,01_research,A_falsifiers,A019,code,SP09,yes,verified,container_split of SST_Kelvin_Floquet
SST_Kelvin_Floquet/Kelvin_Joule_SST_Transient_Energy_Falsifier_v0.1.0,01_research/A_falsifiers/A032_kelvin_joule_transient_energy/A032-v0.1.0,01_research,A_falsifiers,A032,code,SP09,yes,verified,container_split of SST_Kelvin_Floquet
SST_Kelvin_Floquet/SST_Kelvin_Floquet_Workbench_cpp_pybind_v0.1.0,01_research/C_dynamics/C006_kelvin_floquet_workbench/C006-v0.1.0,01_research,C_dynamics,C006,code,SP09,yes,verified,container_split of SST_Kelvin_Floquet
SST_Kelvin_Floquet/SST_Kelvin_Floquet_Workbench_cpp_pybind_v0.1.1,01_research/C_dynamics/C006_kelvin_floquet_workbench/C006-v0.1.1,01_research,C_dynamics,C006,code,SP09,yes,verified,container_split of SST_Kelvin_Floquet; BLOCKED: junction pending - an empty locked shell (Google Drive handle) occupies the old path
SST_chi_phase_research/sst_chi_phase_package_v10B1,01_research/C_dynamics/C001_chi_phase_track_b/C001-v10B1,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v11B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v11B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v12B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v12B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v13B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v13B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v14B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v14B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v15B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v15B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sst_chi_phase_package_v16B0,01_research/C_dynamics/C001_chi_phase_track_b/C001-v16B0,01_research,C_dynamics,C001,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sstcore_chiE_local0,01_research/C_dynamics/C003_chie_local_biot_savart/sstcore_chiE_local0,01_research,C_dynamics,C003,code,SP06,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sstcore_chiE_local_v4,01_research/C_dynamics/C003_chie_local_biot_savart/C003-v4,01_research,C_dynamics,C003,code,SP09,yes,verified,container_split of SST_chi_phase_research
SST_chi_phase_research/sstcore_chiE_local_v5,01_research/C_dynamics/C003_chie_local_biot_savart/C003-v5,01_research,C_dynamics,C003,code,SP09,yes,verified,container_split of SST_chi_phase_research
